Country,Country Code,Year,Value
Canada,CAN,1960,
Spain,ESP,1960,
France,FRA,1960,14.814024
United Kingdom,GBR,1960,
Italy,ITA,1960,
Japan,JPN,1960,
United States,USA,1960,
Canada,CAN,1961,17.58291908
Spain,ESP,1961,
France,FRA,1961,14.41063516
United Kingdom,GBR,1961,
Italy,ITA,1961,
Japan,JPN,1961,
United States,USA,1961,
Canada,CAN,1962,17.57222456
Spain,ESP,1962,
France,FRA,1962,13.17435771
United Kingdom,GBR,1962,
Italy,ITA,1962,
Japan,JPN,1962,
United States,USA,1962,
Canada,CAN,1963,17.93188975
Spain,ESP,1963,
France,FRA,1963,12.92754805
United Kingdom,GBR,1963,
Italy,ITA,1963,
Japan,JPN,1963,
United States,USA,1963,
Canada,CAN,1964,18.98490604
Spain,ESP,1964,
France,FRA,1964,13.09448096
United Kingdom,GBR,1964,
Italy,ITA,1964,
Japan,JPN,1964,
United States,USA,1964,
Canada,CAN,1965,18.29195737
Spain,ESP,1965,
France,FRA,1965,13.56939101
United Kingdom,GBR,1965,
Italy,ITA,1965,
Japan,JPN,1965,
United States,USA,1965,
Canada,CAN,1966,19.06096388
Spain,ESP,1966,
France,FRA,1966,13.59355758
United Kingdom,GBR,1966,
Italy,ITA,1966,
Japan,JPN,1966,
United States,USA,1966,
Canada,CAN,1967,19.93935994
Spain,ESP,1967,
France,FRA,1967,13.48930705
United Kingdom,GBR,1967,
Italy,ITA,1967,
Japan,JPN,1967,
United States,USA,1967,
Canada,CAN,1968,20.82291735
Spain,ESP,1968,
France,FRA,1968,13.55609471
United Kingdom,GBR,1968,
Italy,ITA,1968,
Japan,JPN,1968,
United States,USA,1968,
Canada,CAN,1969,20.84412087
Spain,ESP,1969,
France,FRA,1969,14.29702935
United Kingdom,GBR,1969,
Italy,ITA,1969,
Japan,JPN,1969,
United States,USA,1969,
Canada,CAN,1970,21.84432279
Spain,ESP,1970,12.13059238
France,FRA,1970,15.9811612
United Kingdom,GBR,1970,22.02785624
Italy,ITA,1970,15.16353619
Japan,JPN,1970,10.14014154
United States,USA,1970,5.563107529
Canada,CAN,1971,20.99567959
Spain,ESP,1971,13.0134043
France,FRA,1971,16.48168226
United Kingdom,GBR,1971,22.11142951
Italy,ITA,1971,15.58005495
Japan,JPN,1971,10.99049066
United States,USA,1971,5.405245311
Canada,CAN,1972,21.21390058
Spain,ESP,1972,13.33906116
France,FRA,1972,16.62310607
United Kingdom,GBR,1972,20.84326564
Italy,ITA,1972,16.31352657
Japan,JPN,1972,9.931551575
United States,USA,1972,5.538460336
Canada,CAN,1973,22.68899885
Spain,ESP,1973,13.32148638
France,FRA,1973,17.52527926
United Kingdom,GBR,1973,22.67461893
Italy,ITA,1973,16.10544668
Japan,JPN,1973,9.41789277
United States,USA,1973,6.68378028
Canada,CAN,1974,23.99365126
Spain,ESP,1974,13.18462698
France,FRA,1974,20.63018226
United Kingdom,GBR,1974,27.09211639
Italy,ITA,1974,18.52401818
Japan,JPN,1974,12.76157959
United States,USA,1974,8.196121904
Canada,CAN,1975,21.95978411
Spain,ESP,1975,12.3758068
France,FRA,1975,18.8332005
United Kingdom,GBR,1975,25.65880996
Italy,ITA,1975,18.73225533
Japan,JPN,1975,12.00802483
United States,USA,1975,8.232279109
Canada,CAN,1976,21.68275246
Spain,ESP,1976,12.56686981
France,FRA,1976,19.33517233
United Kingdom,GBR,1976,28.29536423
Italy,ITA,1976,20.04470366
Japan,JPN,1976,12.7207365
United States,USA,1976,7.980892617
Canada,CAN,1977,22.70204764
Spain,ESP,1977,13.25184065
France,FRA,1977,20.23356703
United Kingdom,GBR,1977,29.97134588
Italy,ITA,1977,21.37967489
Japan,JPN,1977,12.28760896
United States,USA,1977,7.654290032
Canada,CAN,1978,24.53095689
Spain,ESP,1978,13.87953944
France,FRA,1978,20.24261652
United Kingdom,GBR,1978,28.29676302
Italy,ITA,1978,21.67875686
Japan,JPN,1978,10.43364737
United States,USA,1978,7.947060702
Canada,CAN,1979,26.32851352
Spain,ESP,1979,13.70415411
France,FRA,1979,20.71595389
United Kingdom,GBR,1979,27.65681813
Italy,ITA,1979,22.38522918
Japan,JPN,1979,10.8540732
United States,USA,1979,8.759034352
Canada,CAN,1980,27.50749862
Spain,ESP,1980,14.29079551
France,FRA,1980,20.98257963
United Kingdom,GBR,1980,26.88680239
Italy,ITA,1980,20.18609946
Japan,JPN,1980,12.84822195
United States,USA,1980,9.82645547
Canada,CAN,1981,26.3846584
Spain,ESP,1981,16.28345437
France,FRA,1981,21.96986186
United Kingdom,GBR,1981,26.24442054
Italy,ITA,1981,21.66535047
Japan,JPN,1981,13.82359871
United States,USA,1981,9.517776667
Canada,CAN,1982,25.19262921
Spain,ESP,1982,16.97711292
