Country,Country Code,Year,Value
Canada,CAN,1960,
Spain,ESP,1960,
France,FRA,1960,12.37989495
United Kingdom,GBR,1960,
Italy,ITA,1960,
Japan,JPN,1960,
United States,USA,1960,
Canada,CAN,1961,18.22754593
Spain,ESP,1961,
France,FRA,1961,12.2639094
United Kingdom,GBR,1961,
Italy,ITA,1961,
Japan,JPN,1961,
United States,USA,1961,
Canada,CAN,1962,17.93909531
Spain,ESP,1962,
France,FRA,1962,11.96007451
United Kingdom,GBR,1962,
Italy,ITA,1962,
Japan,JPN,1962,
United States,USA,1962,
Canada,CAN,1963,17.39988981
Spain,ESP,1963,
France,FRA,1963,12.23155783
United Kingdom,GBR,1963,
Italy,ITA,1963,
Japan,JPN,1963,
United States,USA,1963,
Canada,CAN,1964,18.01665148
Spain,ESP,1964,
France,FRA,1964,12.91074836
United Kingdom,GBR,1964,
Italy,ITA,1964,
Japan,JPN,1964,
United States,USA,1964,
Canada,CAN,1965,18.60259473
Spain,ESP,1965,
France,FRA,1965,12.38517704
United Kingdom,GBR,1965,
Italy,ITA,1965,
Japan,JPN,1965,
United States,USA,1965,
Canada,CAN,1966,19.24432981
Spain,ESP,1966,
France,FRA,1966,12.9898824
United Kingdom,GBR,1966,
Italy,ITA,1966,
Japan,JPN,1966,
United States,USA,1966,
Canada,CAN,1967,19.18485963
Spain,ESP,1967,
France,FRA,1967,13.11742699
United Kingdom,GBR,1967,
Italy,ITA,1967,
Japan,JPN,1967,
United States,USA,1967,
Canada,CAN,1968,19.90446761
Spain,ESP,1968,
France,FRA,1968,13.38922842
United Kingdom,GBR,1968,
Italy,ITA,1968,
Japan,JPN,1968,
United States,USA,1968,
Canada,CAN,1969,21.04177862
Spain,ESP,1969,
France,FRA,1969,14.69572647
United Kingdom,GBR,1969,
Italy,ITA,1969,
Japan,JPN,1969,
United States,USA,1969,
Canada,CAN,1970,19.64795373
Spain,ESP,1970,13.69091857
France,FRA,1970,15.43779535
United Kingdom,GBR,1970,20.96141118
Italy,ITA,1970,14.93530982
Japan,JPN,1970,9.010361227
United States,USA,1970,5.195177876
Canada,CAN,1971,19.691279
Spain,ESP,1971,12.88091602
France,FRA,1971,15.52727688
United Kingdom,GBR,1971,20.52387775
Italy,ITA,1971,14.81603492
Japan,JPN,1971,8.504507302
United States,USA,1971,5.351933725
Canada,CAN,1972,20.63518587
Spain,ESP,1972,13.84165602
France,FRA,1972,15.84732278
United Kingdom,GBR,1972,20.72616599
Italy,ITA,1972,15.50928129
Japan,JPN,1972,7.828156379
United States,USA,1972,5.802159314
Canada,CAN,1973,21.5992834
Spain,ESP,1973,14.78560189
France,FRA,1973,16.88125017
United Kingdom,GBR,1973,24.75580324
Italy,ITA,1973,17.95921996
Japan,JPN,1973,9.470290038
United States,USA,1973,6.39543531
Canada,CAN,1974,24.09085071
Spain,ESP,1974,18.5108462
France,FRA,1974,21.72538306
United Kingdom,GBR,1974,31.62838302
Italy,ITA,1974,22.27887663
Japan,JPN,1974,13.57124812
United States,USA,1974,8.248864418
Canada,CAN,1975,23.89587041
Spain,ESP,1975,16.7101532
France,FRA,1975,17.85853584
United Kingdom,GBR,1975,27.08127368
Italy,ITA,1975,18.66819227
Japan,JPN,1975,12.06741402
United States,USA,1975,7.284094524
Canada,CAN,1976,22.58259182
Spain,ESP,1976,17.51063062
France,FRA,1976,20.26469855
United Kingdom,GBR,1976,29.10542835
Italy,ITA,1976,21.14744828
Japan,JPN,1976,12.06752195
United States,USA,1976,8.067953018
Canada,CAN,1977,23.0563312
Spain,ESP,1977,15.91174418
France,FRA,1977,20.40240281
United Kingdom,GBR,1977,28.9393075
Italy,ITA,1977,20.42988197
Japan,JPN,1977,10.83952692
United States,USA,1977,8.763604643
Canada,CAN,1978,24.31356111
Spain,ESP,1978,13.84567385
France,FRA,1978,19.19561925
United Kingdom,GBR,1978,26.66908594
Italy,ITA,1978,19.58943128
Japan,JPN,1978,8.874594285
United States,USA,1978,9.025773527
Canada,CAN,1979,25.90953386
Spain,ESP,1979,14.13184287
France,FRA,1979,20.31767158
United Kingdom,GBR,1979,26.98482583
Italy,ITA,1979,21.32519001
Japan,JPN,1979,11.79835452
United States,USA,1979,9.617128853
Canada,CAN,1980,25.8104771
Spain,ESP,1980,17.26981457
France,FRA,1980,22.52030901
United Kingdom,GBR,1980,24.40553771
Italy,ITA,1980,22.78655686
Japan,JPN,1980,13.80114255
United States,USA,1980,10.28338922
Canada,CAN,1981,25.71791572
Spain,ESP,1981,19.09673719
France,FRA,1981,23.4410816
United Kingdom,GBR,1981,23.12934314
Italy,ITA,1981,23.61668752
Japan,JPN,1981,13.22323289
United States,USA,1981,9.908136503
Canada,CAN,1982,21.42325359
Spain,ESP,1982,19.55131556
