"Title","UK Whole Economy: Output per hour worked % change per annum SA"
"CDID","LZVD"
"Source dataset ID","PRDY"
"PreUnit",""
"Unit","%"
"Release date","17-02-2026"
"Next release","19 May 2026"
"Important notes",
"1972","2.9"
"1973","4.6"
"1974","-1.8"
"1975","0.6"
"1976","3.8"
"1977","1.7"
"1978","3.1"
"1979","2.4"
"1980","0.1"
"1981","4.5"
"1982","4.5"
"1983","5.3"
"1984","-0.6"
"1985","2.9"
"1986","2.5"
"1987","3.0"
"1988","1.5"
"1989","-0.3"
"1990","1.1"
"1991","3.1"
"1992","3.2"
"1993","3.5"
"1994","1.7"
"1995","0.9"
"1996","2.0"
"1997","2.4"
"1998","2.5"
"1999","2.1"
"2000","4.3"
"2001","1.4"
"2002","1.7"
"2003","2.7"
"2004","1.1"
"2005","1.7"
"2006","1.7"
"2007","2.0"
"2008","-0.3"
"2009","-1.7"
"2010","1.9"
"2011","0.6"
"2012","-0.4"
"2013","-0.3"
"2014","0.4"
"2015","0.4"
"2016","1.0"
"2017","2.0"
"2018","0.6"
"2019","-0.2"
"2020","1.5"
"2021","1.4"
"2022","0.8"
"2023","-0.4"
"2024","-0.8"
"1972 Q1","3.6"
"1972 Q2","3.7"
"1972 Q3","2.0"
"1972 Q4","2.5"
"1973 Q1","7.2"
"1973 Q2","5.2"
"1973 Q3","3.9"
"1973 Q4","2.4"
"1974 Q1","-3.8"
"1974 Q2","-2.2"
"1974 Q3","-0.1"
"1974 Q4","-0.8"
"1975 Q1","2.4"
"1975 Q2","-0.2"
"1975 Q3","-1.3"
"1975 Q4","1.5"
"1976 Q1","2.6"
"1976 Q2","3.5"
"1976 Q3","4.6"
"1976 Q4","4.6"
"1977 Q1","3.0"
"1977 Q2","1.7"
"1977 Q3","1.0"
"1977 Q4","0.9"
"1978 Q1","1.5"
"1978 Q2","3.6"
"1978 Q3","4.3"
"1978 Q4","3.1"
"1979 Q1","1.4"
"1979 Q2","4.6"
"1979 Q3","1.6"
"1979 Q4","2.1"
"1980 Q1","2.1"
"1980 Q2","-2.3"
"1980 Q3","0.6"
"1980 Q4","-0.0"
"1981 Q1","2.1"
"1981 Q2","4.5"
"1981 Q3","5.3"
"1981 Q4","6.2"
"1982 Q1","5.0"
"1982 Q2","4.9"
"1982 Q3","4.0"
"1982 Q4","4.2"
"1983 Q1","6.8"
"1983 Q2","5.6"
"1983 Q3","5.1"
"1983 Q4","3.6"
"1984 Q1","1.0"
"1984 Q2","-1.2"
"1984 Q3","-1.7"
"1984 Q4","-0.4"
"1985 Q1","0.4"
"1985 Q2","4.3"
"1985 Q3","4.0"
"1985 Q4","2.8"
"1986 Q1","2.5"
"1986 Q2","1.5"
"1986 Q3","2.4"
"1986 Q4","3.7"
"1987 Q1","3.1"
"1987 Q2","3.1"
"1987 Q3","3.6"
"1987 Q4","2.4"
"1988 Q1","2.8"
"1988 Q2","1.5"
"1988 Q3","0.9"
"1988 Q4","0.9"
"1989 Q1","-0.1"
"1989 Q2","0.0"
"1989 Q3","-0.5"
"1989 Q4","-0.7"
"1990 Q1","0.4"
"1990 Q2","1.2"
"1990 Q3","0.9"
"1990 Q4","1.7"
"1991 Q1","1.8"
"1991 Q2","2.4"
"1991 Q3","4.1"
"1991 Q4","4.3"
"1992 Q1","4.1"
"1992 Q2","2.6"
"1992 Q3","2.8"
"1992 Q4","3.5"
"1993 Q1","3.5"
"1993 Q2","4.0"
"1993 Q3","3.7"
"1993 Q4","2.7"
"1994 Q1","2.4"
"1994 Q2","2.5"
"1994 Q3","1.5"
"1994 Q4","0.4"
"1995 Q1","0.8"
"1995 Q2","0.2"
"1995 Q3","1.3"
"1995 Q4","1.4"
"1996 Q1","1.8"
"1996 Q2","2.0"
"1996 Q3","1.5"
"1996 Q4","2.7"
"1997 Q1","2.1"
"1997 Q2","2.4"
"1997 Q3","2.3"
"1997 Q4","2.8"
"1998 Q1","2.7"
"1998 Q2","3.0"
"1998 Q3","2.3"
"1998 Q4","2.1"
"1999 Q1","1.8"
"1999 Q2","1.2"
"1999 Q3","2.6"
"1999 Q4","2.8"
"2000 Q1","5.5"
"2000 Q2","5.0"
"2000 Q3","4.3"
"2000 Q4","2.7"
"2001 Q1","1.2"
"2001 Q2","1.3"
"2001 Q3","1.3"
"2001 Q4","1.7"
"2002 Q1","1.1"
"2002 Q2","2.2"
"2002 Q3","1.7"
"2002 Q4","1.9"
"2003 Q1","2.3"
"2003 Q2","2.0"
"2003 Q3","2.9"
"2003 Q4","3.7"
"2004 Q1","2.0"
"2004 Q2","2.1"
"2004 Q3","1.2"
"2004 Q4","-0.7"
"2005 Q1","0.9"
"2005 Q2","1.2"
"2005 Q3","1.5"
"2005 Q4","3.3"
"2006 Q1","2.7"
"2006 Q2","2.0"
"2006 Q3","1.6"
"2006 Q4","0.4"
"2007 Q1","1.2"
"2007 Q2","1.4"
"2007 Q3","2.2"
"2007 Q4","3.1"
"2008 Q1","1.3"
"2008 Q2","1.4"
"2008 Q3","-0.9"
"2008 Q4","-3.2"
"2009 Q1","-2.7"
"2009 Q2","-3.5"
"2009 Q3","-1.2"
"2009 Q4","0.7"
"2010 Q1","2.1"
"2010 Q2","2.4"
"2010 Q3","1.9"
"2010 Q4","1.1"
"2011 Q1","0.1"
"2011 Q2","0.8"
"2011 Q3","0.4"
"2011 Q4","1.1"
"2012 Q1","1.0"
"2012 Q2","-0.8"
"2012 Q3","-0.5"
"2012 Q4","-1.2"
"2013 Q1","-1.1"
"2013 Q2","0.1"
"2013 Q3","-0.5"
"2013 Q4","0.4"
"2014 Q1","0.3"
"2014 Q2","-0.1"
"2014 Q3","1.0"
"2014 Q4","0.5"
"2015 Q1","0.5"
"2015 Q2","1.0"
"2015 Q3","0.7"
"2015 Q4","-0.7"
"2016 Q1","0.5"
"2016 Q2","0.5"
"2016 Q3","0.6"
"2016 Q4","2.3"
"2017 Q1","1.5"
"2017 Q2","1.2"
"2017 Q3","2.6"
"2017 Q4","2.8"
"2018 Q1","2.0"
"2018 Q2","1.8"
"2018 Q3","-0.5"
"2018 Q4","-0.7"
"2019 Q1","-1.2"
"2019 Q2","-1.0"
"2019 Q3","0.7"
"2019 Q4","0.8"
"2020 Q1","1.3"
"2020 Q2","-1.5"
"2020 Q3","5.8"
"2020 Q4","0.4"
"2021 Q1","1.9"
"2021 Q2","5.8"
"2021 Q3","-3.7"
"2021 Q4","2.1"
"2022 Q1","1.4"
"2022 Q2","0.2"
"2022 Q3","1.4"
"2022 Q4","0.4"
"2023 Q1","-0.5"
"2023 Q2","-0.3"
"2023 Q3","0.1"
"2023 Q4","-0.9"
"2024 Q1","-0.4"
"2024 Q2","-0.6"
"2024 Q3","-1.9"
