Year,Continent,Value,Notes,Source
1862,Africa,0.049,Railway track length by continent ('000 km),"Mitchell, B. R. (2005). International historical statistics."
1863,Africa,0.049,,
1864,Africa,0.099,,
1865,Africa,0.155,,
1866,Africa,0.155,,
1867,Africa,0.155,,
1868,Africa,0.178,,
1869,Africa,1.487,,
1870,Africa,1.555,,
1871,Africa,1.789,,
1872,Africa,1.803,,
1873,Africa,0.721,,
1874,Africa,0.721,,
1875,Africa,2.27,,
1876,Africa,2.585,,
1877,Africa,2.931,,
1878,Africa,3.329,,
1879,Africa,4.109,,
1880,Africa,4.579,,
1881,Africa,4.779,,
1882,Africa,5.104,,
1883,Africa,5.565,,
1884,Africa,6.429,,
1885,Africa,6.813,,
1886,Africa,7.464,,
1887,Africa,7.666,,
1888,Africa,8.062,,
1889,Africa,8.478,,
1890,Africa,9.202,,
1891,Africa,9.492,,
1892,Africa,10.383,,
1893,Africa,10.759,,
1894,Africa,11.349,,
1895,Africa,11.768,,
1896,Africa,12.296,,
1897,Africa,13.609,,
1898,Africa,14.807,,
1899,Africa,15.713,,
1900,Africa,16.319,,
1901,Africa,17.684,,
1902,Africa,20.063,,
1903,Africa,21.941,,
1904,Africa,23.236,,
1905,Africa,25.674,,
1906,Africa,29.929,,
1907,Africa,31.392,,
1908,Africa,32.815,,
1909,Africa,35.529,,
1910,Africa,37.768,,
1911,Africa,39.234,,
1912,Africa,40.756,,
1913,Africa,44.044,,
1862,Asia,3.755,,
1863,Asia,4.035,,
1864,Asia,4.76,,
1865,Asia,5.487,,
1866,Asia,5.734,,
1867,Asia,6.333,,
1868,Asia,6.48,,
1869,Asia,7.063,,
1870,Asia,7.777,,
1871,Asia,8.434,,
1872,Asia,8.99,,
1873,Asia,10.485,,
1874,Asia,11.795,,
1875,Asia,12.826,,
1876,Asia,11.559,,
1877,Asia,12.33,,
1878,Asia,15.36,,
1879,Asia,14.318,,
1880,Asia,15.245,,
1881,Asia,16.75,,
1882,Asia,19.009,,
1883,Asia,18.108,,
1884,Asia,20.183,,
1885,Asia,23.597,,
1886,Asia,22.912,,
1887,Asia,25.276,,
1888,Asia,28.685,,
1889,Asia,29.397,,
1890,Asia,32.873,,
1891,Asia,35.264,,
1892,Asia,37.261,,
1893,Asia,35.839,,
1894,Asia,36.955,,
1895,Asia,42.021,,
1896,Asia,44.308,,
1897,Asia,47.175,,
1898,Asia,50.738,,
1899,Asia,52.989,,
1900,Asia,55.795,,
1901,Asia,59.322,,
1902,Asia,59.758,,
1903,Asia,64.827,,
1904,Asia,67.221,,
1905,Asia,70.073,,
1906,Asia,72.822,,
1907,Asia,78.994,,
1908,Asia,81.271,,
1909,Asia,83.984,,
1910,Asia,80.464,,
1911,Asia,84.914,,
1912,Asia,87.771,,
1913,Asia,96.792,,
1862,Oceania,0.0,,
1863,Oceania,0.0,,
1864,Oceania,0.0,,
1865,Oceania,0.0,,
1866,Oceania,0.0,,
1867,Oceania,0.0,,
1868,Oceania,0.0,,
1869,Oceania,1.39,,
1870,Oceania,1.529,,
1871,Oceania,1.65,,
1872,Oceania,1.883,,
1873,Oceania,2.412,,
1874,Oceania,2.866,,
1875,Oceania,3.734,,
1876,Oceania,4.478,,
1877,Oceania,5.587,,
1878,Oceania,6.4,,
1879,Oceania,6.993,,
1880,Oceania,7.746,,
1881,Oceania,8.795,,
1882,Oceania,9.777,,
1883,Oceania,10.797,,
1884,Oceania,12.001,,
1885,Oceania,12.985,,
1886,Oceania,14.085,,
1887,Oceania,15.329,,
1888,Oceania,16.212,,
1889,Oceania,17.531,,
1890,Oceania,18.565,,
1891,Oceania,19.661,,
1892,Oceania,20.083,,
1893,Oceania,20.809,,
1894,Oceania,21.461,,
1895,Oceania,22.294,,
1896,Oceania,22.289,,
1897,Oceania,23.149,,
1898,Oceania,23.723,,
1899,Oceania,24.535,,
1900,Oceania,25.136,,
1901,Oceania,25.501,,
1902,Oceania,26.251,,
1903,Oceania,27.201,,
1904,Oceania,27.483,,
